,Pclass,Sex,Age,Fare,Family_Count,CabinIndicator
867,1,1,31.0,50.4958,0,1
845,3,1,42.0,7.55,0,0
289,3,0,22.0,7.75,0,0
142,3,0,24.0,15.85,1,0
476,2,1,34.0,21.0,1,0
376,3,0,22.0,7.25,0,0
684,2,1,60.0,39.0,2,0
292,2,1,36.0,12.875,0,1
45,3,1,29.69911764705882,8.05,0,0
430,1,1,28.0,26.55,0,1
384,3,1,29.69911764705882,7.8958,0,0
623,3,1,21.0,7.8542,0,0
461,3,1,34.0,8.05,0,0
485,3,0,29.69911764705882,25.4667,4,0
26,3,1,29.69911764705882,7.225,0,0
362,3,0,45.0,14.4542,1,0
268,1,0,58.0,153.4625,1,1
63,3,1,4.0,27.9,5,0
664,3,1,20.0,7.925,1,0
793,1,1,29.69911764705882,30.6958,0,0
866,2,0,27.0,13.8583,1,0
33,2,1,66.0,10.5,0,0
462,1,1,47.0,38.5,0,1
747,2,0,30.0,13.0,0,0
429,3,1,32.0,8.05,0,1
118,1,1,24.0,247.5208,1,1
15,2,0,55.0,16.0,0,0
716,1,0,38.0,227.525,0,1
42,3,1,29.69911764705882,7.8958,0,0
478,3,1,22.0,7.5208,0,0
174,1,1,56.0,30.6958,0,1
392,3,1,28.0,7.925,2,0
499,3,1,24.0,7.7958,0,0
657,3,0,32.0,15.5,2,0
93,3,1,26.0,20.575,3,0
449,1,1,52.0,30.5,0,1
426,2,0,28.0,26.0,1,0
556,1,0,48.0,39.6,1,1
607,1,1,27.0,30.5,0,0
153,3,1,40.5,14.5,2,0
116,3,1,70.5,7.75,0,0
594,2,1,37.0,26.0,1,0
881,3,1,33.0,7.8958,0,0
750,2,0,4.0,23.0,2,0
756,3,1,28.0,7.7958,0,0
18,3,0,31.0,18.0,1,0
23,1,1,28.0,35.5,0,1
276,3,0,45.0,7.75,0,0
30,1,1,40.0,27.7208,0,0
648,3,1,29.69911764705882,7.55,0,0
0,3,1,22.0,7.25,1,0
72,2,1,21.0,73.5,0,0
803,3,1,0.42,8.5167,1,0
468,3,1,29.69911764705882,7.725,0,0
427,2,0,19.0,26.0,0,0
534,3,0,30.0,8.6625,0,0
115,3,1,21.0,7.925,0,0
309,1,0,30.0,56.9292,0,1
487,1,1,58.0,29.7,0,1
625,1,1,61.0,32.3208,0,1
603,3,1,44.0,8.05,0,0
500,3,1,17.0,8.6625,0,0
38,3,0,18.0,18.0,2,0
24,3,0,8.0,21.075,4,0
883,2,1,28.0,10.5,0,0
326,3,1,61.0,6.2375,0,0
199,2,0,24.0,13.0,0,0
205,3,0,2.0,10.4625,1,1
320,3,1,22.0,7.25,0,0
431,3,0,29.69911764705882,16.1,1,0
741,1,1,36.0,78.85,1,1
437,2,0,24.0,18.75,5,0
553,3,1,22.0,7.225,0,0
825,3,1,29.69911764705882,6.95,0,0
311,1,0,18.0,262.375,4,1
258,1,0,35.0,512.3292,0,0
863,3,0,29.69911764705882,69.55,10,0
456,1,1,65.0,26.55,0,1
264,3,0,29.69911764705882,7.75,0,0
746,3,1,16.0,20.25,2,0
719,3,1,33.0,7.775,0,0
669,1,0,29.69911764705882,52.0,1,1
308,2,1,30.0,24.0,1,0
295,1,1,29.69911764705882,27.7208,0,0
563,3,1,29.69911764705882,8.05,0,0
379,3,1,19.0,7.775,0,0
542,3,0,11.0,31.275,6,0
282,3,1,16.0,9.5,0,0
779,1,0,43.0,211.3375,1,1
148,2,1,36.5,26.0,2,1
378,3,1,20.0,4.0125,0,0
561,3,1,40.0,7.8958,0,0
859,3,1,29.69911764705882,7.2292,0,0
105,3,1,28.0,7.8958,0,0
71,3,0,16.0,46.9,7,0
114,3,0,17.0,14.4583,0,0
234,2,1,24.0,10.5,0,0
347,3,0,29.69911764705882,16.1,1,0
830,3,0,15.0,14.4542,1,0
